order_id,customer_id,order_date,order_value_usd,origin_city,destination_city,priority_level,payment_method
33,3313,2024-04-02,2068.28,New York,Berlin,Overnight,Wire
34,461,2023-03-28,7647.8,Singapore,Singapore,Express,Card
35,1677,2024-04-22,242.48,Mumbai,London,Overnight,UPI
36,1488,2023-08-12,2628.56,London,Toronto,Overnight,Corporate Billing
37,2552,2023-09-20,4660.39,Singapore,Singapore,Standard,UPI
38,3835,2025-01-20,8051.22,Sydney,Mumbai,Express,UPI
39,1086,2023-10-20,8913.34,Sydney,Sydney,Express,Card
40,4901,2024-11-14,5574.27,New York,Singapore,Express,Corporate Billing
41,969,2023-11-04,13965.63,Singapore,Dubai,Express,Corporate Billing
42,3539,2025-06-17,14246.12,Berlin,London,Standard,Wire
43,4429,2024-09-16,10611.59,Dubai,Toronto,Express,Corporate Billing
44,1803,2025-02-05,3867.03,Dubai,Berlin,Express,UPI
45,2572,2024-11-23,8724.07,London,Dubai,Standard,Corporate Billing
46,2682,2024-01-13,8250.04,Mumbai,Dubai,Express,Wire
47,4944,2025-01-20,14438.72,New York,Toronto,Express,Card
48,1899,2025-01-07,10113.82,Mumbai,London,Standard,Corporate Billing
49,4287,2024-07-27,10176.36,Singapore,Sydney,Overnight,Corporate Billing
50,725,2025-04-29,12812.12,Sydney,Mumbai,Standard,Corporate Billing
51,587,2024-04-23,5387.46,Berlin,Dubai,Express,Card
52,581,2023-02-03,6661.3,Toronto,New York,Standard,Card
53,163,2024-04-01,12547.95,Toronto,Berlin,Overnight,Corporate Billing
54,2887,2024-11-07,9702.26,London,Dubai,Express,UPI
55,3680,2023-04-13,8350.0,Toronto,Dubai,Standard,Corporate Billing
56,366,2023-11-22,1529.7,Mumbai,Mumbai,Overnight,UPI
57,1472,2024-09-06,1526.63,Singapore,London,Standard,UPI
58,471,2023-02-04,11194.08,London,Mumbai,Express,Wire
59,1053,2024-04-10,8628.78,Singapore,Singapore,Express,Card
60,2528,2023-07-24,9644.19,Singapore,Dubai,Express,UPI
61,3892,2025-02-22,10350.03,Dubai,Sydney,Express,Corporate Billing
62,1352,2023-01-20,9400.4,New York,Singapore,Overnight,UPI
63,2288,2023-07-21,13813.32,Mumbai,Dubai,Express,Card
64,1374,2023-08-26,5005.81,Dubai,London,Overnight,Wire
65,4417,2023-11-03,9075.17,Mumbai,Mumbai,Standard,Wire
66,1106,2024-08-07,11705.86,London,Toronto,Overnight,UPI
67,2037,2024-06-02,2739.01,Toronto,London,Express,Card
68,1664,2023-12-01,814.74,Mumbai,Singapore,Standard,UPI
69,1228,2023-08-15,6240.22,Dubai,Berlin,Standard,Card
70,85,2025-04-20,10689.32,London,Sydney,Standard,Corporate Billing
71,4366,2023-03-10,9566.42,Sydney,Singapore,Overnight,Corporate Billing
72,3777,2024-03-27,6825.54,Dubai,Sydney,Standard,Card
73,117,2024-09-09,1814.93,New York,Berlin,Overnight,Wire
74,4500,2024-02-14,8364.31,Dubai,Sydney,Overnight,Corporate Billing
75,4811,2024-09-10,13798.21,Toronto,Mumbai,Overnight,Wire
76,1976,2024-06-30,7725.29,Toronto,Dubai,Express,Corporate Billing
77,4981,2023-06-01,6461.1,London,New York,Standard,UPI
78,877,2025-05-22,1784.56,London,Sydney,Express,Wire
79,4717,2023-08-12,2359.4,London,Toronto,Express,Card
80,1400,2025-04-09,2310.16,London,London,Overnight,UPI
81,2686,2023-01-11,637.48,Dubai,Mumbai,Overnight,Corporate Billing
82,108,2023-04-24,5433.16,Sydney,London,Standard,Wire
83,1446,2024-08-17,12377.68,New York,London,Overnight,UPI
84,3803,2025-02-01,1106.02,New York,Berlin,Express,Card
85,4972,2025-04-17,135.42,Mumbai,Singapore,Express,UPI
86,4219,2023-01-08,6131.13,Berlin,Sydney,Express,Corporate Billing
87,1647,2024-10-25,13411.13,Singapore,Mumbai,Standard,Wire
88,4923,2024-11-29,8845.74,London,Singapore,Express,UPI
89,4511,2023-10-01,6532.89,Berlin,Singapore,Overnight,Wire
90,2257,2024-10-02,6731.32,New York,Mumbai,Overnight,UPI
91,3923,2023-06-05,11995.19,London,Singapore,Overnight,UPI
92,3019,2024-12-11,8171.3,Sydney,London,Standard,UPI
93,1171,2024-09-07,183.97,Berlin,Dubai,Express,UPI
94,4895,2024-10-07,3151.49,London,Berlin,Standard,Card
95,3549,2024-01-16,12377.49,London,Berlin,Standard,Card
96,233,2024-04-03,13110.11,Singapore,London,Overnight,Corporate Billing
97,2809,2024-03-08,13527.54,Berlin,Singapore,Express,UPI
98,1638,2023-09-04,198.04,Dubai,Mumbai,Overnight,Card
99,912,2025-04-02,11746.87,Dubai,Mumbai,Overnight,UPI
100,4903,2023-10-04,7353.7,Dubai,Singapore,Overnight,Wire
101,2404,2023-04-02,14435.28,Singapore,Berlin,Standard,Wire
102,4422,2025-03-12,3358.99,Berlin,Mumbai,Overnight,Corporate Billing
103,4896,2023-10-17,7798.23,Singapore,Dubai,Overnight,Corporate Billing
104,4082,2025-02-19,3907.55,Mumbai,Berlin,Standard,UPI
105,3393,2024-09-16,3634.12,Mumbai,Sydney,Express,Wire
106,4185,2024-11-05,4874.63,Berlin,New York,Standard,UPI
107,2191,2025-05-24,5664.37,Singapore,Berlin,Express,UPI
108,1409,2024-08-11,12516.78,Singapore,Singapore,Express,UPI
109,911,2025-05-01,7581.83,Dubai,Dubai,Overnight,UPI
110,468,2025-05-12,6335.49,Toronto,Singapore,Overnight,UPI
111,617,2023-10-26,4299.29,New York,Dubai,Express,UPI
112,2388,2023-06-23,9084.11,London,New York,Standard,Wire
113,650,2024-06-19,5471.8,Berlin,Mumbai,Express,Wire
114,4489,2023-04-21,13693.4,Dubai,New York,Overnight,Card
115,3471,2024-07-27,2222.29,Singapore,Berlin,Standard,Wire
116,3924,2024-08-16,671.21,Singapore,Sydney,Standard,UPI
117,4022,2025-03-06,8770.81,Toronto,Mumbai,Overnight,UPI
118,178,2023-01-04,4374.99,Toronto,Berlin,Express,Wire
119,3511,2024-08-03,6591.26,Sydney,London,Overnight,Card
120,4314,2023-11-21,1365.85,Dubai,New York,Standard,Wire
121,1461,2024-03-10,10089.65,New York,Toronto,Standard,Corporate Billing
122,1683,2024-06-21,2617.19,London,Sydney,Express,UPI
123,871,2024-08-26,13023.02,Singapore,Mumbai,Standard,Corporate Billing
124,1864,2024-05-27,12560.18,Singapore,Toronto,Express,Wire
125,2807,2025-05-25,2985.42,Sydney,Singapore,Express,UPI
126,1712,2025-01-20,4662.73,New York,Berlin,Overnight,UPI
127,35,2024-04-18,6508.77,Singapore,Toronto,Standard,UPI
128,479,2024-04-19,5966.68,Mumbai,Berlin,Standard,UPI
129,532,2025-05-19,8719.37,New York,Dubai,Overnight,UPI
130,1537,2025-05-31,510.76,Sydney,New York,Overnight,UPI
131,399,2024-02-07,1075.63,Singapore,New York,Standard,Card
132,2373,2024-09-09,14442.73,Singapore,Toronto,Standard,Wire
133,2590,2025-05-30,9319.58,Sydney,New York,Standard,Wire
134,3239,2023-11-09,7740.96,Toronto,New York,Standard,Corporate Billing
135,3577,2024-03-16,1927.65,Sydney,Toronto,Standard,Card
136,3806,2023-01-21,9602.07,New York,Toronto,Express,UPI
137,535,2025-06-07,8268.85,London,Singapore,Express,UPI
138,3111,2025-05-05,797.69,Toronto,London,Overnight,Corporate Billing
139,1007,2023-02-26,5397.23,Mumbai,New York,Standard,Wire
140,2351,2023-06-27,7048.13,Dubai,Mumbai,Overnight,Corporate Billing
141,2105,2024-09-15,2916.65,Berlin,London,Express,Card
142,4064,2024-02-27,8009.83,Dubai,Sydney,Overnight,Wire
143,3805,2023-02-27,8838.88,Sydney,New York,Express,Wire
144,905,2024-06-05,5602.06,Mumbai,Berlin,Overnight,Wire
145,239,2024-02-08,959.43,Mumbai,Dubai,Standard,Corporate Billing
146,4254,2023-03-21,1473.12,Dubai,Mumbai,Standard,UPI
147,4069,2023-03-19,4577.3,London,Toronto,Standard,Corporate Billing
148,2835,2025-05-07,9336.56,Singapore,Berlin,Overnight,Wire
149,3514,2025-05-02,4662.87,Berlin,New York,Standard,UPI
150,3669,2025-01-13,5637.5,Berlin,Mumbai,Standard,Wire
151,2463,2024-10-27,652.01,Singapore,Dubai,Standard,Corporate Billing
152,2935,2023-08-16,11403.64,Berlin,Dubai,Express,Card
153,1279,2025-02-10,13823.77,Mumbai,Mumbai,Standard,Wire
154,3207,2025-02-01,224.15,Singapore,Sydney,Express,Wire
155,3697,2023-12-04,9731.04,Toronto,Berlin,Standard,Card
156,4110,2024-11-04,6158.33,Sydney,London,Express,Card
157,308,2023-12-05,11788.85,Singapore,Singapore,Overnight,UPI
158,4821,2025-03-20,9534.38,Mumbai,Sydney,Overnight,Wire
159,4500,2023-01-30,2440.16,Toronto,London,Standard,Card
160,3631,2023-08-27,629.24,Dubai,Mumbai,Overnight,Corporate Billing
161,1506,2025-04-10,6959.74,Berlin,New York,Standard,Corporate Billing
162,2418,2023-01-13,14966.95,New York,London,Overnight,Card
163,928,2024-08-06,11712.59,London,New York,Overnight,Corporate Billing
164,2881,2023-01-01,11521.94,Sydney,Toronto,Overnight,Card
165,252,2025-01-02,11145.65,Singapore,London,Overnight,UPI
166,197,2023-01-27,483.99,Mumbai,Dubai,Express,Wire
167,1850,2023-07-17,4544.44,London,Dubai,Standard,Card
168,646,2023-03-30,7222.6,New York,Singapore,Overnight,Corporate Billing
169,198,2024-01-01,6923.59,Dubai,Mumbai,Standard,UPI
170,722,2024-08-29,12405.69,Singapore,Sydney,Express,Card
171,3760,2023-09-04,11175.82,New York,Sydney,Standard,Card
172,1634,2023-03-18,8263.67,Sydney,Sydney,Standard,UPI
173,2195,2025-06-12,13474.9,Dubai,London,Overnight,Wire
174,4237,2023-05-02,5911.25,Dubai,Sydney,Standard,Corporate Billing
175,3481,2024-08-14,6945.7,Sydney,Singapore,Express,UPI
176,1194,2023-12-21,5502.07,Singapore,Singapore,Express,Corporate Billing
177,379,2025-03-17,7787.76,Toronto,Sydney,Overnight,UPI
178,3858,2024-02-03,4741.1,London,Mumbai,Express,Card
179,4541,2023-01-31,4143.21,Singapore,Mumbai,Express,Card
180,584,2025-06-10,10704.33,Mumbai,New York,Express,Corporate Billing
181,1808,2023-08-13,12805.66,New York,London,Standard,Wire
182,2079,2024-04-30,6521.55,London,Singapore,Standard,Corporate Billing
183,909,2025-05-18,4943.73,Mumbai,Toronto,Express,Card
184,918,2023-12-28,1981.45,Mumbai,New York,Standard,Card
185,634,2024-04-12,10536.38,Toronto,Berlin,Overnight,Card
186,3931,2023-08-10,1345.15,London,New York,Standard,Corporate Billing
187,3323,2023-10-09,12500.11,Toronto,Singapore,Overnight,Corporate Billing
188,4507,2023-11-24,11423.56,New York,Sydney,Overnight,Corporate Billing
189,1098,2024-02-18,7541.11,Mumbai,New York,Overnight,Wire
190,762,2025-02-24,3960.29,New York,Mumbai,Standard,Corporate Billing
191,360,2025-06-14,13695.15,Singapore,New York,Overnight,Corporate Billing
192,1804,2025-01-19,648.37,New York,Singapore,Standard,Corporate Billing
193,3538,2024-11-08,3007.1,London,Singapore,Overnight,Card
194,218,2024-09-12,2714.48,New York,Mumbai,Overnight,Corporate Billing
195,2833,2025-03-16,14536.55,Sydney,Toronto,Overnight,UPI
196,3967,2023-05-08,1244.18,Sydney,Singapore,Standard,Wire
197,980,2025-05-31,3756.95,New York,Singapore,Overnight,Card
198,455,2024-02-23,3703.33,Mumbai,Dubai,Standard,Card
199,1445,2023-08-19,7712.09,New York,Dubai,Overnight,UPI
200,29,2024-05-06,6024.27,London,Berlin,Express,Card
201,1925,2025-01-03,3223.14,Toronto,New York,Express,Corporate Billing
202,2419,2025-03-25,10509.77,Toronto,Sydney,Overnight,UPI
203,4005,2024-04-04,705.62,Toronto,London,Overnight,UPI
204,4853,2025-02-18,10742.75,New York,Berlin,Overnight,UPI
205,4194,2024-04-01,2566.28,Mumbai,London,Standard,Corporate Billing
206,4774,2023-02-01,7439.03,Dubai,Berlin,Overnight,Wire
207,1187,2025-01-08,3934.88,Sydney,New York,Overnight,UPI
208,2241,2024-02-22,7376.01,Toronto,Mumbai,Standard,UPI
209,868,2023-12-09,14013.18,Dubai,London,Overnight,UPI
210,4464,2024-04-27,9881.23,Sydney,Berlin,Standard,Corporate Billing
211,3882,2024-02-15,6704.29,Berlin,London,Standard,Corporate Billing
212,2887,2023-06-13,3378.64,Singapore,London,Overnight,Corporate Billing
213,752,2025-06-19,10612.47,Toronto,New York,Express,UPI
214,1801,2025-03-30,2912.44,Toronto,New York,Standard,Card
215,4946,2023-09-21,10214.2,Sydney,Toronto,Standard,Corporate Billing
216,3693,2023-09-07,13618.25,Berlin,New York,Overnight,Corporate Billing
217,3796,2025-05-03,2700.34,Toronto,Toronto,Express,UPI
218,1913,2023-12-09,4292.23,London,Mumbai,Standard,Wire
219,3596,2025-05-18,11621.05,Singapore,New York,Overnight,UPI
220,192,2023-05-12,1695.47,Dubai,Mumbai,Express,Wire
221,2628,2023-10-31,13656.94,Dubai,Toronto,Standard,Wire
222,389,2023-05-19,10416.39,Sydney,Mumbai,Overnight,Wire
223,2927,2023-12-16,8245.08,Berlin,Sydney,Standard,Corporate Billing
224,3563,2024-02-14,3599.82,Singapore,Berlin,Overnight,Corporate Billing
225,1200,2024-12-06,14461.08,Dubai,Singapore,Express,Card
226,370,2024-09-29,8989.02,New York,Berlin,Overnight,Corporate Billing
227,1348,2023-09-05,268.92,Dubai,Berlin,Overnight,Wire
228,2372,2025-01-06,11377.28,Dubai,Toronto,Overnight,UPI
229,1620,2023-02-01,9518.45,New York,Mumbai,Overnight,Wire
230,3312,2025-02-08,2154.56,New York,Dubai,Express,Card
231,3234,2023-04-29,14983.1,Dubai,Mumbai,Overnight,Corporate Billing
232,4378,2024-07-19,10897.85,Dubai,Berlin,Standard,Card
233,1096,2023-03-01,1364.46,New York,Dubai,Overnight,UPI
234,295,2023-11-07,13506.74,Sydney,New York,Standard,Card
235,1739,2023-07-01,3496.96,London,Sydney,Overnight,UPI
236,3168,2025-03-26,3741.04,London,New York,Express,Corporate Billing
237,829,2025-04-14,3790.57,Singapore,New York,Express,Corporate Billing
238,3688,2025-02-22,7512.15,Sydney,Dubai,Standard,Wire
239,3562,2024-07-04,8757.25,London,Berlin,Standard,Corporate Billing
240,3309,2023-06-14,13673.17,Mumbai,Singapore,Express,Card
241,4726,2023-08-05,7855.88,Mumbai,Berlin,Express,UPI
242,3188,2023-02-06,8373.85,Singapore,Sydney,Express,UPI
243,1247,2023-02-20,5952.66,Singapore,Berlin,Overnight,Card
244,4094,2023-01-24,10753.45,Dubai,Dubai,Express,Wire
245,817,2024-06-14,6225.6,New York,Dubai,Standard,Wire
246,2879,2025-01-10,2756.3,Berlin,Toronto,Standard,Corporate Billing
247,638,2023-09-06,8869.48,Berlin,London,Overnight,Corporate Billing
248,4325,2023-06-22,3361.26,Singapore,Sydney,Express,Corporate Billing
249,3046,2024-07-07,2804.57,Singapore,Dubai,Overnight,Wire
250,1402,2024-11-12,4103.12,Dubai,Mumbai,Express,Corporate Billing
251,1805,2024-05-19,2454.91,Mumbai,London,Overnight,UPI
252,2328,2024-02-19,11842.95,New York,New York,Standard,Corporate Billing
253,3696,2023-03-13,5625.71,Berlin,Singapore,Overnight,Wire
254,2301,2023-06-22,1341.72,Berlin,Mumbai,Overnight,Card
255,2363,2025-06-09,13066.75,Toronto,Singapore,Standard,Wire
256,4684,2023-04-27,2368.34,Sydney,Singapore,Standard,Wire
257,1747,2023-08-18,8203.61,London,Mumbai,Standard,Card
258,629,2024-12-19,13673.3,Singapore,Berlin,Standard,UPI
259,188,2025-01-05,1815.68,Berlin,London,Express,UPI
260,3556,2024-07-15,4927.5,Berlin,London,Express,Corporate Billing
261,4293,2024-07-29,11930.35,Singapore,Mumbai,Express,UPI
262,58,2025-01-26,2596.84,Berlin,London,Standard,Wire
263,2406,2025-01-11,13765.02,New York,Sydney,Express,Corporate Billing
264,1400,2024-06-15,3252.73,New York,Sydney,Standard,Wire
265,4371,2024-08-20,4849.16,Sydney,Singapore,Express,UPI
266,3795,2025-01-06,5149.74,Dubai,Dubai,Overnight,Wire
267,3913,2024-11-06,4783.8,Sydney,Toronto,Overnight,Card
268,1226,2025-03-21,6998.79,Singapore,Berlin,Standard,Card
269,739,2024-06-04,11087.29,Sydney,Singapore,Express,Wire
270,2293,2023-03-07,5580.47,London,Berlin,Express,Card
271,3875,2023-07-06,13612.87,London,New York,Standard,UPI
272,2141,2023-09-13,9254.43,Singapore,Berlin,Standard,Corporate Billing
273,4801,2023-07-23,1214.69,Dubai,Dubai,Standard,Card
274,789,2025-03-09,2148.25,Singapore,Toronto,Standard,UPI
275,3404,2024-07-04,11446.06,Sydney,Mumbai,Overnight,UPI
276,79,2024-10-04,8553.61,Toronto,Mumbai,Express,Wire
277,392,2025-01-01,2243.92,Mumbai,Toronto,Express,UPI
278,892,2025-03-02,3295.41,New York,Berlin,Express,Corporate Billing
279,1394,2023-04-14,12584.11,Dubai,New York,Overnight,Wire
280,89,2025-02-16,1937.6,Mumbai,Mumbai,Standard,Corporate Billing
281,2247,2023-10-02,9362.44,Toronto,Toronto,Express,Card
282,1371,2023-05-07,9534.92,Berlin,Mumbai,Overnight,Corporate Billing
283,2933,2025-03-03,5253.95,Singapore,London,Overnight,Wire
284,4969,2025-04-18,14888.23,New York,London,Express,Card
285,3821,2023-08-30,13946.07,Sydney,Sydney,Express,Wire
286,576,2024-08-28,4843.21,London,London,Express,Corporate Billing
287,3096,2024-09-24,8739.2,Mumbai,Sydney,Standard,Corporate Billing
288,3082,2023-08-31,1531.4,Dubai,London,Standard,Corporate Billing
289,2747,2024-03-22,14486.91,Sydney,Sydney,Express,Corporate Billing
290,516,2024-06-30,12937.43,Sydney,London,Overnight,Corporate Billing
291,763,2023-05-10,9159.34,London,Toronto,Standard,Wire
292,421,2025-02-22,10020.63,Dubai,Sydney,Express,Corporate Billing
293,3971,2024-11-16,4300.29,Toronto,Mumbai,Express,UPI
294,1127,2024-09-19,3156.39,Sydney,Berlin,Express,Wire
295,2764,2023-11-08,4247.21,London,New York,Express,Corporate Billing
296,2792,2024-03-03,1429.75,Singapore,Berlin,Overnight,Corporate Billing
297,4993,2025-04-04,756.19,Toronto,Singapore,Overnight,Corporate Billing
298,2852,2023-08-22,8301.87,Berlin,Mumbai,Standard,Corporate Billing
299,1108,2025-01-30,7856.71,Mumbai,Sydney,Express,Wire
300,4739,2023-10-14,12924.85,Sydney,London,Standard,Wire
301,4664,2024-12-16,11032.43,New York,London,Overnight,UPI
302,2833,2023-08-24,5630.94,Dubai,Singapore,Express,Card
303,2390,2023-08-05,12148.67,Dubai,London,Overnight,Wire
304,3620,2024-11-07,6931.23,London,London,Express,Wire
305,3604,2025-03-29,7469.99,London,London,Overnight,Wire
306,2109,2025-01-23,1156.9,Sydney,Sydney,Standard,UPI
307,1483,2023-06-15,7383.68,Singapore,Toronto,Express,UPI
308,1786,2024-10-14,12367.77,New York,New York,Express,Corporate Billing
309,3701,2023-06-29,11847.99,Sydney,Berlin,Standard,Wire
310,3255,2023-09-22,9186.77,Mumbai,Singapore,Standard,Card
311,2298,2023-04-08,2806.45,Dubai,Dubai,Express,UPI
312,3058,2025-06-11,8310.37,Sydney,Berlin,Express,Corporate Billing
313,4210,2025-03-22,2854.63,London,Sydney,Express,Card
314,1697,2024-02-23,3697.9,London,London,Standard,Card
315,2167,2023-09-15,10767.42,Berlin,New York,Overnight,UPI
316,4153,2025-05-25,6043.32,Mumbai,Berlin,Overnight,UPI
317,4394,2023-10-08,3447.03,Sydney,Sydney,Standard,Wire
318,1054,2023-07-30,6942.09,New York,Mumbai,Standard,Card
319,705,2023-03-18,14073.05,Toronto,Sydney,Overnight,Corporate Billing
320,2724,2025-03-12,11443.8,Dubai,Sydney,Overnight,Corporate Billing
321,3496,2025-01-14,7972.27,Berlin,Dubai,Standard,Wire
322,2197,2024-10-31,13736.25,New York,Sydney,Standard,Card
323,2142,2023-10-19,9929.53,Mumbai,Mumbai,Express,Wire
324,2542,2023-07-01,11354.82,New York,Dubai,Standard,Card
325,1729,2023-01-12,1452.12,Berlin,New York,Express,Wire
326,3859,2023-03-13,3244.71,Toronto,Singapore,Express,Wire
327,742,2025-01-02,14981.11,Toronto,New York,Overnight,UPI
328,1050,2023-11-10,12658.73,Berlin,Toronto,Standard,Corporate Billing
329,2791,2024-07-28,14498.02,Sydney,Berlin,Standard,Corporate Billing
330,2583,2024-01-30,1758.13,Toronto,London,Standard,Wire
331,793,2024-06-04,992.87,London,London,Overnight,UPI
332,1657,2024-11-04,7178.15,London,Singapore,Overnight,Wire
333,1160,2024-01-09,4459.37,Toronto,Dubai,Overnight,UPI
334,4520,2023-11-12,4420.68,Toronto,Berlin,Express,Corporate Billing
335,3005,2024-05-24,431.36,London,New York,Overnight,Corporate Billing
336,504,2023-04-20,3484.74,Berlin,Berlin,Standard,UPI
337,124,2023-12-20,3812.2,Dubai,Toronto,Standard,Corporate Billing
338,3232,2023-03-19,8385.62,Toronto,Toronto,Overnight,Wire
339,2242,2024-03-04,10567.84,Toronto,New York,Express,UPI
340,4970,2024-06-12,1069.01,New York,London,Standard,Wire
341,3818,2024-05-23,8506.76,Toronto,Toronto,Express,Corporate Billing
342,2877,2024-07-01,12544.79,New York,Berlin,Overnight,Corporate Billing
343,1814,2023-09-12,2933.33,Toronto,Singapore,Express,Wire
344,3514,2024-12-30,13042.59,Dubai,Singapore,Standard,Corporate Billing
345,1537,2023-07-10,11641.44,Singapore,Toronto,Standard,Card
346,3811,2024-05-09,13265.33,Dubai,Mumbai,Overnight,Corporate Billing
347,206,2025-01-26,2240.29,Dubai,Mumbai,Express,Card
348,4520,2023-11-08,14634.48,Mumbai,Sydney,Express,UPI
349,2814,2024-01-06,13275.41,Mumbai,Toronto,Overnight,Corporate Billing
350,2968,2023-04-12,5940.56,Berlin,Toronto,Standard,Card
351,279,2023-10-29,12164.47,Sydney,London,Standard,Corporate Billing
352,35,2023-07-24,1639.59,Berlin,New York,Overnight,UPI
353,3781,2023-07-19,14792.99,Mumbai,Berlin,Express,Corporate Billing
354,2364,2023-06-13,14188.96,Singapore,Berlin,Express,UPI
355,2510,2024-06-02,12416.82,London,Singapore,Express,Corporate Billing
356,1937,2025-01-27,4558.37,Sydney,London,Standard,Corporate Billing
357,3984,2024-02-02,7752.24,Dubai,Mumbai,Express,Corporate Billing
358,674,2023-12-25,10576.22,London,Dubai,Overnight,Corporate Billing
359,3367,2024-11-14,12709.43,Dubai,Toronto,Standard,UPI
360,2814,2023-11-27,2357.33,Sydney,Berlin,Express,Wire
361,2411,2024-09-11,13228.47,London,New York,Overnight,Wire
362,1434,2024-08-11,5937.28,Dubai,Mumbai,Express,Card
363,344,2023-03-03,2588.07,Mumbai,Toronto,Overnight,Card
364,4655,2024-03-24,3546.2,Dubai,Singapore,Overnight,Corporate Billing
365,3124,2023-09-29,10836.49,Toronto,New York,Standard,Corporate Billing
366,4544,2025-01-29,12376.52,Singapore,Sydney,Standard,Corporate Billing
367,1400,2023-11-03,705.0,Sydney,Berlin,Express,Corporate Billing
368,3841,2024-08-04,8484.65,Toronto,Singapore,Standard,Wire
369,2156,2023-03-16,8855.03,London,Berlin,Express,Corporate Billing
370,4587,2024-06-10,1793.07,Toronto,Sydney,Overnight,Corporate Billing
371,1842,2025-02-20,6116.63,Sydney,London,Overnight,Wire
372,1394,2024-08-02,5939.15,Singapore,Singapore,Express,Card
373,2918,2024-04-14,6232.71,Singapore,Sydney,Overnight,UPI
374,1688,2023-08-06,10377.76,Sydney,Sydney,Standard,Wire
375,3370,2024-03-25,1677.9,Mumbai,Singapore,Overnight,Card
376,364,2023-08-10,11505.94,New York,Sydney,Express,Card
377,2127,2023-08-31,5991.54,Dubai,Toronto,Overnight,Card
378,4498,2024-11-18,6404.13,New York,London,Express,Wire
379,1938,2023-01-04,13818.33,New York,Singapore,Overnight,Corporate Billing
380,697,2024-06-04,3424.43,Sydney,Dubai,Standard,UPI
381,2700,2024-05-04,6958.12,Toronto,Toronto,Overnight,Corporate Billing
382,2978,2024-10-19,2270.34,Sydney,Berlin,Standard,Card
383,2887,2024-07-23,13218.26,London,Toronto,Standard,Card
384,4549,2023-07-22,8327.59,Toronto,Berlin,Standard,Wire
385,570,2023-01-04,5460.57,New York,New York,Overnight,Wire
386,3271,2025-03-12,14528.8,Mumbai,Dubai,Express,UPI
387,1240,2025-05-18,11199.17,Toronto,Singapore,Express,Wire
388,1654,2024-11-13,14989.5,Mumbai,Sydney,Express,Wire
389,3220,2025-02-05,14098.63,Sydney,Singapore,Overnight,UPI
390,3325,2023-07-27,9892.85,Sydney,Sydney,Express,Wire
391,1721,2023-04-02,4202.42,Mumbai,Sydney,Express,UPI
392,3629,2025-05-15,6297.43,Dubai,Singapore,Overnight,Corporate Billing
393,1236,2023-09-21,12940.5,Berlin,Singapore,Express,UPI
394,1739,2024-08-17,12649.95,Dubai,Sydney,Standard,UPI
395,4449,2023-12-07,8857.59,Mumbai,Dubai,Express,Card
396,1044,2024-03-12,11469.76,Mumbai,New York,Overnight,Wire
397,2017,2024-02-21,9004.84,Sydney,London,Overnight,Card
398,753,2025-05-08,930.65,Berlin,Singapore,Express,Wire
399,1303,2025-05-02,10627.38,Mumbai,Berlin,Overnight,UPI
400,621,2025-06-10,6911.46,London,Singapore,Standard,Corporate Billing
401,2994,2023-09-09,5497.43,Mumbai,Toronto,Overnight,Card
